,CallDate,CallClientID
0,2020-03-01,2831
1,2020-03-01,2027
2,2020-03-01,3955
3,2020-03-01,602
4,2020-03-01,3988
5,2020-03-01,640
6,2020-03-01,1310
7,2020-03-01,1731
8,2020-03-01,4007
9,2020-03-01,4971
10,2020-03-01,4577
11,2020-03-01,2550
12,2020-03-01,1148
13,2020-03-01,208
14,2020-03-01,540
15,2020-03-01,2059
16,2020-03-01,893
17,2020-03-01,264
18,2020-03-01,1583
19,2020-03-01,2739
20,2020-03-01,2222
21,2020-03-01,2273
22,2020-03-01,1186
23,2020-03-01,4194
24,2020-03-01,719
25,2020-03-01,18
26,2020-03-02,778
27,2020-03-02,3167
28,2020-03-02,1004
29,2020-03-02,4229
30,2020-03-02,3456
31,2020-03-02,4970
32,2020-03-02,4977
33,2020-03-02,2940
34,2020-03-02,3028
35,2020-03-02,872
36,2020-03-02,2583
37,2020-03-02,720
38,2020-03-02,2762
39,2020-03-02,241
40,2020-03-02,2141
41,2020-03-02,4988
42,2020-03-02,1248
43,2020-03-02,1177
44,2020-03-02,3054
45,2020-03-02,2437
46,2020-03-02,1122
47,2020-03-02,3025
48,2020-03-02,1040
49,2020-03-02,3037
50,2020-03-02,4383
51,2020-03-02,2280
52,2020-03-03,3636
53,2020-03-03,2339
54,2020-03-03,990
55,2020-03-03,4290
56,2020-03-03,1373
57,2020-03-03,2522
58,2020-03-03,279
59,2020-03-03,4677
60,2020-03-03,493
61,2020-03-03,1277
62,2020-03-03,4417
63,2020-03-03,783
64,2020-03-03,4735
65,2020-03-03,418
66,2020-03-03,2944
67,2020-03-03,4236
68,2020-03-03,4269
69,2020-03-03,4411
70,2020-03-03,4366
71,2020-03-03,2383
72,2020-03-03,123
73,2020-03-03,49
74,2020-03-03,4195
75,2020-03-03,4684
76,2020-03-03,2340
77,2020-03-03,1371
78,2020-03-03,2914
79,2020-03-03,4933
80,2020-03-03,4950
81,2020-03-03,4846
82,2020-03-03,2993
83,2020-03-03,25
84,2020-03-03,1613
85,2020-03-03,2254
86,2020-03-03,579
87,2020-03-03,4024
88,2020-03-03,4641
89,2020-03-03,676
90,2020-03-03,3533
91,2020-03-03,3839
92,2020-03-03,3586
